id,source,topic,content
aha-chest-pain-001,AHA/ACC Guidelines 2021,chest pain emergency,"Chest pain with shortness of breath, sweating, or radiation to the arm/jaw is a medical emergency. Patients should call 911 immediately. Aspirin 325mg should be chewed if not allergic. Time is muscle — every minute of delay increases myocardial damage. Door-to-balloon time target is under 90 minutes for STEMI."
aha-chest-pain-002,AHA Guidelines,angina chest pain,"Stable angina presents as chest tightness triggered by exertion, relieved by rest or nitroglycerin within 5 minutes. Unstable angina occurs at rest or is increasing in frequency — requires immediate emergency evaluation. Patients with coronary artery disease reporting new chest pain should be treated as emergency. Nitroglycerin sublingual may be used every 5 minutes up to 3 doses."
aha-cad-001,AHA/ACC CAD Guidelines 2023,coronary artery disease management,"CAD management requires antiplatelet therapy, statins, ACE inhibitors or ARBs, and beta-blockers. LDL target below 70 mg/dL for high-risk patients. Aspirin contraindication requires alternative antiplatelet. Post-CABG patients require lifelong anticoagulation assessment. Annual cardiology follow-up recommended. Warfarin INR target 2.0-3.0 for post-CABG patients."
aha-mi-001,AHA STEMI Guidelines 2022,myocardial infarction STEMI,"STEMI requires immediate reperfusion via primary PCI within 90 minutes. If PCI unavailable, fibrinolysis within 30 minutes. Dual antiplatelet therapy required. NSAIDs increase cardiovascular events post-MI and are contraindicated. Beta-blockers reduce mortality. ACE inhibitors improve outcomes especially with reduced EF."
aha-hf-001,AHA Heart Failure Guidelines 2022,heart failure management,"Heart failure management requires four pillars: ACE inhibitor or ARNI, beta-blocker, MRA, and SGLT2 inhibitor. Sodium restriction below 2g/day. Daily weight monitoring — gain of 2-3 pounds in 24 hours indicates fluid retention requiring urgent attention. Avoid NSAIDs as they cause sodium retention and worsen heart failure. Fluid restriction 1.5L/day for advanced HF."
aha-hf-002,AHA Guidelines,acute heart failure decompensation,"Acute HF decompensation signs: sudden weight gain above 2kg in 24 hours, worsening dyspnea especially lying flat, leg and ankle edema, fatigue, elevated JVP. These require urgent or emergency evaluation. BNP above 400 pg/mL confirms decompensation. IV diuretics and oxygen required. ICU admission if hemodynamic instability."
aha-hfref-001,AHA HFrEF Guidelines 2023,heart failure reduced ejection fraction treatment,"HFrEF defined as EF below 40%. Guideline-directed medical therapy requires sacubitril/valsartan (ARNI) preferred over ACE inhibitor, beta-blocker titrated to maximum tolerated dose, spironolactone or eplerenone for MRA, and SGLT2 inhibitor. ICD indicated for EF persistently below 35% despite optimal therapy. CRT for LBBB with QRS above 150ms."
aha-hf-003,AHA Guidelines,digoxin heart failure monitoring,"Digoxin in heart failure: narrow therapeutic index 0.5-0.9 ng/mL for HF. Toxicity causes nausea, vomiting, visual halos, bradycardia, arrhythmias. Hypokalemia from diuretics dramatically increases digoxin toxicity risk — monitor potassium closely. Amiodarone and verapamil increase digoxin levels by 50-100%. Reduce dose in CKD. Monthly level monitoring recommended."
aha-htn-001,AHA/ACC Hypertension Guidelines 2023,hypertension management,"Hypertension defined as BP consistently above 130/80 mmHg. Stage 2 HTN requires medication plus lifestyle. First-line agents: ACE inhibitors, ARBs, thiazide diuretics, calcium channel blockers. Target below 130/80 for diabetes, CKD, and high cardiovascular risk. Hypertensive urgency above 180/120 mmHg without organ damage: oral therapy, monitor 1-2 hours."
aha-htn-002,AHA Hypertension Guidelines,hypertensive crisis emergency,"Hypertensive crisis: BP above 180/120 mmHg. Emergency if end-organ damage present (chest pain, stroke, pulmonary edema, AKI). Requires IV labetalol or nicardipine. Reduce MAP by maximum 25% in first hour — too rapid reduction causes ischemia. Urgency without organ damage: oral amlodipine or labetalol. Do not use sublingual nifedipine — dangerous rapid drop."
cdc-diabetes-001,CDC Diabetes Guidelines 2023,type 2 diabetes management,"T2DM management: HbA1c target below 7% for most adults, 7-8% acceptable for elderly or complex patients. Metformin is first-line unless contraindicated. Add SGLT2 inhibitor for cardiovascular disease or HF. Add GLP-1 agonist for obesity or CV risk reduction. Annual eye exams, foot exams, kidney function and lipid panels. BP below 130/80 mmHg. Statin therapy for all T2DM above age 40."
ada-diabetes-002,ADA Standards of Care 2024,diabetic complications monitoring,"Diabetes complications include neuropathy, nephropathy, retinopathy, and cardiovascular disease. HbA1c every 3 months if not at goal, every 6 months if stable. DKA symptoms: excessive thirst, nausea, abdominal pain, fruity breath, blood glucose above 250 mg/dL — requires emergency care. Monofilament foot exam annually. Urine albumin-creatinine ratio annually."
ada-metformin-001,ADA Guidelines,metformin use and contraindications,"Metformin contraindicated when eGFR below 30 mL/min. Dose reduction required for eGFR 30-45 — maximum 1000mg/day. Must be held 48 hours before iodinated contrast procedures due to lactic acidosis risk. Resume only after confirming stable renal function post-procedure. Alcohol use increases lactic acidosis risk. Most effective, safest, and cheapest T2DM medication. Does not cause hypoglycemia."
ada-sglt2-001,ADA Standards of Care 2024,SGLT2 inhibitors diabetes heart failure,"SGLT2 inhibitors (empagliflozin, dapagliflozin) recommended for T2DM with established CVD, HF, or CKD. Dapagliflozin and empagliflozin reduce HF hospitalizations in HFrEF regardless of diabetes. Reduce dose in CKD — check eGFR before starting. Hold before surgery. Risk of genital mycotic infections and DKA. Check for amputation risk before use."
ada-glp1-001,ADA Standards of Care 2024,GLP-1 agonists diabetes obesity,"GLP-1 receptor agonists (semaglutide, liraglutide) recommended for T2DM with obesity or established CVD. Semaglutide 2.4mg weekly significantly reduces body weight. Common side effects: nausea, vomiting — start at low dose and titrate. Contraindicated with personal or family history of MTC or MEN2. Do not use with severe GI disease."
ada-insulin-001,ADA Insulin Guidelines 2024,insulin therapy management,"Basal insulin (glargine, detemir) started at 10 units or 0.1-0.2 units/kg at bedtime. Titrate by 2 units every 3 days until fasting glucose below 130 mg/dL. During illness, stress, or infection — insulin requirements increase significantly. Monitor glucose every 2-4 hours during acute illness. Never stop insulin in T1DM. DKA risk if insulin omitted in T1DM."
kdigo-ckd-001,KDIGO CKD Guidelines 2023,chronic kidney disease management,"CKD management: BP below 130/80 mmHg, ACE inhibitor or ARB for proteinuria above 300mg/day, avoid nephrotoxic drugs (NSAIDs, aminoglycosides, contrast without hydration). Monitor eGFR, potassium, phosphorus, hemoglobin regularly. Metformin dose adjustment when eGFR 30-45, stop when below 30. Contrast agents require pre-hydration with IV saline. Avoid NSAID use in any stage of CKD."
kdigo-ckd-002,KDIGO CKD Guidelines 2023,CKD drug dosing adjustment,"CKD requires drug dose adjustments: Metformin — reduce at eGFR 30-45, stop below 30. Digoxin — reduce dose, risk of toxicity increases. Lisinopril — safe but monitor potassium and creatinine. Furosemide — may need higher doses. NSAIDs absolutely contraindicated — worsen CKD and cause AKI. Spironolactone — use with extreme caution below eGFR 45, hold if potassium above 5.0."
kdigo-ckd-003,KDIGO CKD Guidelines 2023,CKD hyperkalemia management,"Hyperkalemia in CKD: potassium above 5.5 mEq/L requires intervention. Potassium above 6.0 with ECG changes is emergency. Avoid potassium-sparing diuretics, ACE inhibitors may need dose reduction. Dietary potassium restriction below 2g/day. Patiromer or sodium zirconium cyclosilicate for chronic management. In acute hyperkalemia: calcium gluconate for cardiac protection, insulin-dextrose to shift K+ intracellularly."
